tanggal,kode_sku,nama_produk,kategori,subkategori,wilayah,channel,actual_unit,target_unit,actual_revenue,target_revenue,cogs,profit,stok_awal,stok_akhir,achievement_pct,gap_unit,profit_margin_pct,days_of_stock
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jabodetabek,Modern Trade,435,574,8047500,10619000,4695568,3351932,404,348,75.8,-139,41.7,24
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jabodetabek,Traditional Trade,353,323,6530500,5975500,3683557,2846943,538,543,109.3,30,43.6,46
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jabodetabek,Mini Market,364,387,6734000,7159500,4412108,2321892,729,577,94.1,-23,34.5,48
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jabodetabek,Online,626,666,11581000,12321000,6380839,5200161,463,153,94.0,-40,44.9,7
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Barat,Modern Trade,750,838,13875000,15503000,9220272,4654728,404,0,89.5,-88,33.5,0
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Barat,Traditional Trade,465,652,8602500,12062000,5510408,3092092,344,214,71.3,-187,35.9,14
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Barat,Mini Market,803,1121,14855500,20738500,8346117,6509383,600,82,71.6,-318,43.8,3
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Barat,Online,515,587,9527500,10859500,6185153,3342347,596,221,87.7,-72,35.1,13
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Tengah,Modern Trade,725,629,13412500,11636500,8289080,5123420,673,131,115.3,96,38.2,5
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Tengah,Traditional Trade,483,564,8935500,10434000,5855192,3080308,999,652,85.6,-81,34.5,40
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Tengah,Mini Market,457,449,8454500,8306500,5236202,3218298,576,504,101.8,8,38.1,33
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Tengah,Online,324,331,5994000,6123500,3994402,1999598,534,326,97.9,-7,33.4,30
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Timur,Modern Trade,765,775,14152500,14337500,9722349,4430151,880,376,98.7,-10,31.3,15
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Timur,Traditional Trade,444,424,8214000,7844000,5644514,2569486,769,498,104.7,20,31.3,34
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Timur,Mini Market,509,683,9416500,12635500,5940367,3476133,898,708,74.5,-174,36.9,42
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Jawa Timur,Online,582,609,10767000,11266500,7532923,3234077,821,591,95.6,-27,30.0,30
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sumatera Utara,Modern Trade,370,368,6845000,6808000,3921680,2923320,463,409,100.5,2,42.7,33
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sumatera Utara,Traditional Trade,179,203,3311500,3755500,2053817,1257683,557,761,88.2,-24,38.0,128
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sumatera Utara,Mini Market,220,197,4070000,3644500,2778663,1291337,573,627,111.7,23,31.7,86
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sumatera Utara,Online,157,172,2904500,3182000,1598889,1305611,569,768,91.3,-15,45.0,147
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sumatera Selatan,Modern Trade,375,363,6937500,6715500,4466328,2471172,954,938,103.3,12,35.6,75
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sumatera Selatan,Traditional Trade,209,279,3866500,5161500,2439401,1427099,843,734,74.9,-70,36.9,105
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sumatera Selatan,Mini Market,443,433,8195500,8010500,4953746,3241754,614,393,102.3,10,39.6,27
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sumatera Selatan,Online,110,134,2035000,2479000,1143291,891709,797,822,82.1,-24,43.8,224
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Kalimantan,Modern Trade,708,610,13098000,11285000,8137687,4960313,862,338,116.1,98,37.9,14
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Kalimantan,Traditional Trade,257,272,4754500,5032000,3302735,1451765,852,797,94.5,-15,30.5,93
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Kalimantan,Mini Market,354,405,6549000,7492500,3968780,2580220,829,806,87.4,-51,39.4,68
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Kalimantan,Online,118,130,2183000,2405000,1207538,975462,867,966,90.8,-12,44.7,246
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sulawesi,Modern Trade,269,389,4976500,7196500,2781023,2195477,369,216,69.2,-120,44.1,24
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sulawesi,Traditional Trade,228,289,4218000,5346500,2743162,1474838,519,667,78.9,-61,35.0,88
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sulawesi,Mini Market,268,271,4958000,5013500,3155429,1802571,548,622,98.9,-3,36.4,70
2024-01-01,SKU001,Sabun Mandi Cair 400ml,Personal Care,Hygiene,Sulawesi,Online,218,250,4033000,4625000,2478914,1554086,733,825,87.2,-32,38.5,114
2024-01-01,SKU002,Sampo Anti Ketombe 170ml,Personal Care,Hair Care,Jabodetabek,Modern Trade,1458,1185,32076000,26070000,20785836,11290164,961,0,123.0,273,35.2,0
